"filename", "language", "C++", "XML", "Markdown", "CMake", "comment", "blank", "total"
"d:\WorkSpace\GoMonte\.idea\GoMonte.iml", "XML", 0, 2, 0, 0, 0, 0, 2
"d:\WorkSpace\GoMonte\.idea\QtSettings.xml", "XML", 0, 26, 0, 0, 0, 0, 26
"d:\WorkSpace\GoMonte\.idea\editor.xml", "XML", 0, 499, 0, 0, 0, 0, 499
"d:\WorkSpace\GoMonte\.idea\misc.xml", "XML", 0, 7, 0, 0, 0, 0, 7
"d:\WorkSpace\GoMonte\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 8
"d:\WorkSpace\GoMonte\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"d:\WorkSpace\GoMonte\CMakeLists.txt", "CMake", 0, 0, 0, 89, 0, 14, 103
"d:\WorkSpace\GoMonte\README.md", "Markdown", 0, 0, 0, 0, 0, 1, 1
"d:\WorkSpace\GoMonte\include\BoardCellWidget.h", "C++", 23, 0, 0, 0, 4, 9, 36
"d:\WorkSpace\GoMonte\include\FileOP.h", "C++", 4, 0, 0, 0, 3, 3, 10
"d:\WorkSpace\GoMonte\include\GameController.h", "C++", 32, 0, 0, 0, 3, 12, 47
"d:\WorkSpace\GoMonte\include\GameData.h", "C++", 24, 0, 0, 0, 3, 6, 33
"d:\WorkSpace\GoMonte\include\GomokuBoard.h", "C++", 30, 0, 0, 0, 3, 12, 45
"d:\WorkSpace\GoMonte\include\HelperFunctions.h", "C++", 6, 0, 0, 0, 3, 4, 13
"d:\WorkSpace\GoMonte\include\MainBoardWidget.h", "C++", 24, 0, 0, 0, 3, 11, 38
"d:\WorkSpace\GoMonte\include\MainMenuWidget.h", "C++", 4, 0, 0, 0, 3, 2, 9
"d:\WorkSpace\GoMonte\include\SearchAgent.h", "C++", 40, 0, 0, 0, 3, 11, 54
"d:\WorkSpace\GoMonte\main.cpp", "C++", 18, 0, 0, 0, 0, 7, 25
"d:\WorkSpace\GoMonte\mainwindow.cpp", "C++", 27, 0, 0, 0, 1, 15, 43
"d:\WorkSpace\GoMonte\mainwindow.h", "C++", 26, 0, 0, 0, 1, 7, 34
"d:\WorkSpace\GoMonte\src\ai\SearchAgent.cpp", "C++", 157, 0, 0, 0, 9, 45, 211
"d:\WorkSpace\GoMonte\src\board\GomokuBoard.cpp", "C++", 133, 0, 0, 0, 3, 25, 161
"d:\WorkSpace\GoMonte\src\file operations\FileOP.cpp", "C++", 1, 0, 0, 0, 3, 2, 6
"d:\WorkSpace\GoMonte\src\game\GameController.cpp", "C++", 91, 0, 0, 0, 4, 16, 111
"d:\WorkSpace\GoMonte\src\game\GameData.cpp", "C++", 0, 0, 0, 0, 3, 1, 4
"d:\WorkSpace\GoMonte\src\helper\HelperFunctions.cpp", "C++", 8, 0, 0, 0, 3, 3, 14
"d:\WorkSpace\GoMonte\src\widgets\BoardCellWidget.cpp", "C++", 32, 0, 0, 0, 5, 11, 48
"d:\WorkSpace\GoMonte\src\widgets\MainBoardWidget.cpp", "C++", 53, 0, 0, 0, 4, 19, 76
"d:\WorkSpace\GoMonte\src\widgets\MainMenuWidget.cpp", "C++", 0, 0, 0, 0, 3, 1, 4
"d:\WorkSpace\GoMonte\tests\judge_test.cpp", "C++", 1090, 0, 0, 0, 21, 99, 1210
"Total", "-", 1823, 548, 0, 89, 88, 336, 2884